"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1961","European Union - 27 countries (from 2019)","Net migration plus statistical adjustment","-120,979",""
"1961","European Union - 27 countries (2007-2013)","Population on 1 January - total ","405,852,272",""
"1961","European Union - 27 countries (2007-2013)","Live births - total","7,527,639",""
"1961","European Union - 27 countries (2007-2013)","Deaths - total","4,102,804",""
"1961","European Union - 27 countries (2007-2013)","Natural change of population","3,424,835",""
"1961","European Union - 27 countries (2007-2013)","Net migration plus statistical adjustment","-25,891",""
"1961","Euro area (19 countries)","Population on 1 January - total ","265,392,392",""
"1961","Euro area (19 countries)","Live births - total","5,040,571",""
"1961","Euro area (19 countries)","Deaths - total","2,710,499",""
"1961","Euro area (19 countries)","Natural change of population","2,330,072",""
"1961","Euro area (19 countries)","Net migration plus statistical adjustment","-31,416",""
"1961","Euro area (18 countries)","Population on 1 January - total ","262,590,892",""
"1961","Euro area (18 countries)","Live births - total","4,977,796",""
"1961","Euro area (18 countries)","Deaths - total","2,688,134",""
"1961","Euro area (18 countries)","Natural change of population","2,289,662",""
"1961","Euro area (18 countries)","Net migration plus statistical adjustment","-35,106",""
"1961","Belgium","Population on 1 January - total ","9,178,154",""
"1961","Belgium","Live births - total","158,431",""
"1961","Belgium","Deaths - total","106,985",""
"1961","Belgium","Natural change of population","51,446",""
"1961","Belgium","Net migration plus statistical adjustment","-39,859",""
"1961","Bulgaria","Population on 1 January - total ","7,905,502",""
"1961","Bulgaria","Live births - total","137,861",""
"1961","Bulgaria","Deaths - total","62,562",""
"1961","Bulgaria","Natural change of population","75,299",""
"1961","Bulgaria","Net migration plus statistical adjustment","-67",""
"1961","Czechia","Population on 1 January - total ","9,566,172",""
"1961","Czechia","Live births - total","131,019",""
"1961","Czechia","Deaths - total","94,973",""
"1961","Czechia","Natural change of population","36,046",""
"1961","Czechia","Net migration plus statistical adjustment","4,911",""
"1961","Denmark","Population on 1 January - total ","4,593,750",""
"1961","Denmark","Live births - total","76,439",""
"1961","Denmark","Deaths - total","43,310",""
"1961","Denmark","Natural change of population","33,129",""
"1961","Denmark","Net migration plus statistical adjustment","2,745",""
"1961","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","55,958,321",""
"1961","Germany (until 1990 former territory of the FRG)","Live births - total","1,012,687",""
"1961","Germany (until 1990 former territory of the FRG)","Deaths - total","627,561",""
"1961","Germany (until 1990 former territory of the FRG)","Natural change of population","385,126",""
"1961","Germany (until 1990 former territory of the FRG)","Net migration plus statistical adjustment","245,701",""
"1961","Germany including former GDR","Population on 1 January - total ","73,086,809",""
"1961","Germany including former GDR","Live births - total","1,313,505",""
"1961","Germany including former GDR","Deaths - total","850,300",""
"1961","Germany including former GDR","Natural change of population","463,205",""
"1961","Germany including former GDR","Net migration plus statistical adjustment","118,440",""
"1961","Estonia","Population on 1 January - total ","1,216,712",""
"1961","Estonia","Live births - total","20,230",""
"1961","Estonia","Deaths - total","13,036",""
"1961","Estonia","Natural change of population","7,194",""
"1961","Estonia","Net migration plus statistical adjustment","9,535",""
"1961","Ireland","Population on 1 January - total ","2,821,700",""
"1961","Ireland","Live births - total","59,825",""
"1961","Ireland","Deaths - total","34,763",""
"1961","Ireland","Natural change of population","25,062",""
"1961","Ireland","Net migration plus statistical adjustment","-19,662",""
"1961","Greece","Population on 1 January - total ","8,363,050",""
"1961","Greece","Live births - total","150,716",""
"1961","Greece","Deaths - total","63,955",""
"1961","Greece","Natural change of population","86,761",""
"1961","Greece","Net migration plus statistical adjustment","-16,761",""
"1961","Spain","Population on 1 January - total ","30,583,000",""
"1961","Spain","Live births - total","651,558",""
"1961","Spain","Deaths - total","256,394",""
"1961","Spain","Natural change of population","395,164",""
"1961","Spain","Net migration plus statistical adjustment","-82,664",""
"1961","France","Population on 1 January - total ",":",""
"1961","France","Live births - total",":",""
"1961","France","Deaths - total",":",""
"1961","France","Natural change of population",":",""
"1961","France","Net migration plus statistical adjustment",":",""
"1961","France (metropolitan)","Population on 1 January - total ","45,903,656",""
"1961","France (metropolitan)","Live births - total","835,240",""
"1961","France (metropolitan)","Deaths - total","500,510",""
"1961","France (metropolitan)","Natural change of population","334,730",""
"1961","France (metropolitan)","Net migration plus statistical adjustment","183,614",""
"1961","Croatia","Population on 1 January - total ","4,152,939",""
"1961","Croatia","Live births - total","74,190",""
"1961","Croatia","Deaths - total","37,796",""
"1961","Croatia","Natural change of population","36,394",""
"1961","Croatia","Net migration plus statistical adjustment","-7,688",""
"1961","Italy","Population on 1 January - total ","50,373,900",""
"1961","Italy","Live births - total","929,657",""
"1961","Italy","Deaths - total","468,455",""
"1961","Italy","Natural change of population","461,202",""
"1961","Italy","Net migration plus statistical adjustment","-136,302",""
"1961","Cyprus","Population on 1 January - total ","573,566",""
"1961","Cyprus","Live births - total","15,059",""
