"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2018","United Kingdom","95 years","Males","Number","11,964",""
"2018","United Kingdom","95 years","Females","Number","31,911",""
"2018","United Kingdom","96 years","Males","Number","8,489",""
"2018","United Kingdom","96 years","Females","Number","24,746",""
"2018","United Kingdom","97 years","Males","Number","5,349",""
"2018","United Kingdom","97 years","Females","Number","17,279",""
"2018","United Kingdom","98 years","Males","Number","2,826",""
"2018","United Kingdom","98 years","Females","Number","10,114",""
"2018","United Kingdom","99 years","Males","Number","1,590",""
"2018","United Kingdom","99 years","Females","Number","6,306",""
"2018","United Kingdom","Open-ended age class","Males","Number","2,503",""
"2018","United Kingdom","Open-ended age class","Females","Number","11,966",""
"2018","United Kingdom","Unknown","Males","Number","0",""
"2018","United Kingdom","Unknown","Females","Number","0",""
